WT,MDFS,MDFS + X-shr,WT,WT,WT
127,37,58,145,37,145
113,59,49,99,191,164
55,92,103,171,0,96
,100,97,87,174,0
61,108,48,154,65,82
61,50,0,157,163,115
,97,72,177,,132
95,46,71,,119,121
58,78,59,78,143,132
88,86,,140,138,
77,81,27,154,157,92
65,,82,194,75,141
59,72,,119,0,69
,101,80,48,154,0
78,70,86,,104,0
75,93,61,128,144,0
149,0,84,149,139,
123,91,53,182,155,
83,,114,,148,
106,86,76,125,167,
47,91,74,96,152,100
154,,90,150,0,89
,76,80,221,139,64
,91,0,,147,140
126,101,103,0,115,0
59,39,89,146,0,77
85,135,108,149,156,0
62,75,67,,121,101
88,80,65,,113,128
121,103,74,54,142,82
135,0,77,,151,
,60,31,,95,
148,64,77,,160,
106,,,,169,
103,,,,136,
65,50,118,,,
56,30,83,,,
106,96,42,,,
,102,,,,
56,89,,,,
63,74,,,,
55,97,73,,,
,148,0,,,
,85,97,,,
,,93,,,